動畫名稱,ID,集數,年份,季節,字幕組
貫徹輔助魔法支援弱小隊友的宮廷魔法師，慘遭驅逐後目標成為最強冒險者,1747,1-12,2025,秋,
最後可以再拜託您一件事嗎？,1743,1-13,2025,秋,
野原廣志 午餐的流派,1741,1-12,2025,秋,
差點在迷宮深處被信任的夥伴殺掉，但靠著天賜技能「無限扭蛋」獲得等級9999的夥伴，我要向前隊友和世界展開復仇&「給他們好看！」,1774,1-12,2025,秋,
"<a href=""https://anime1.pw/?cat=54"">罪惡之淵</a>",0,1-8,2025,秋,桜都
阿爾瑪醬想成為家人,1772,1-11,2025,秋,三明治擺爛組
魔法藥水救救我,1738,1-12,2025,秋,
惡食千金與狂血公爵～那個魔物我就美美地享用了！～,1737,1-12,2025,秋,
雙人單身露營,1715,1-24,2025,夏,
永遠的黃昏,1731,1-12,2025,秋,
不中用的前輩。,1767,1-12,2025,秋,
Let’s Play 充滿挑戰的人生,1766,1-12,2025,秋,
妖怪旅館營業中 貳(第二季),1736,1-12,2025,秋,
矢野同學的普通日常,1735,1-12,2025,秋,
素材採集家的異世界旅行記,1733,1-12,2025,秋,
嘆氣的亡靈想隱退,1521,1-24,2024/2025,秋,
野生的大魔王出現了！,1732,1-12,2025,秋,
我的英雄學院 FINAL SEASON(第八季),1744,1-11,2025,秋,
劇場版『鏈鋸人 蕾潔篇』,1779,劇場版,2025,夏,豌豆&風之聖殿
成群結伴！西頓學園,679,1-12+OVA,2020,冬,-
無職英雄：技能什麼的毫無用處,1730,1-12,2025,秋,
學姊是男孩,1484,1-12+13-16,2024,夏,-
最弱技能《果實大師》 ～關於能無限食用技能果實（吃了就會死）這件事～,1610,1-12,2025,冬,
轉生成自動販賣機的我今天也在迷宮徘徊 第二季,1704,1-12,2025,夏,
卡片戰鬥!! 先導者 Divinez 第四季 DELUXE決勝篇,1717,1-12,2025,夏,
涅庫羅諾美子的宇宙恐怖秀,1722,1-12,2025,夏,六四位元
WITCH WATCH 魔女守護者,1638,1-25,2025,春,
Silent Witch 沉默魔女的祕密,1684,1-13,2025,夏,動漫國&桜都
CITY THE ANIMATION,1705,1-13,2025,夏,桜都
新吊帶襪天使 (New PANTY and STOCKING with GARTERBELT),1719,1-13,2025,夏,喵萌奶茶屋
薰香花朵凜然綻放,1721,1-13,2025,夏,喵萌奶茶屋
遊樂場少女的異文化交流,1723,1-12,2025,夏,三明治擺爛組&Pre-S
Summer Pockets,1647,1-26,2025,春,喵萌奶茶屋
鬼人幻燈抄,1622,1-24,2025,春,
殺手旅店,1701,1-13,2025,夏,
琉璃的寶石,1702,1-13,2025,夏,
異世界默示錄麥諾格拉～從毀滅文明開始征服世界～,1697,1-13,2025,夏,
青春豬頭少年不會夢到聖誕服女郎,1694,1-13,2025,夏,
怪獸 8 號 第二季,1690,13-23,2025,夏,
費馬的料理,1692,1-12,2025,夏,
9-nine- 支配者的王冠,1688,1-13,2025,夏,
安妮·雪利,1635,1-24,2025,春,
NUKITASHI 住在拔作島上的我該如何是好？,1720,1-11,2025,夏,
為丑女獻上花束,1683,1-13,2025,夏,
水屬性的魔法師,1682,1-12,2025,夏,
尋神的旅途,1556,1-13,2024,秋,
神椿市建設中。,1680,1-12,2025,夏,
Dr.STONE 新石紀 SCIENCE FUTURE,1590,1-24,2025,冬/夏,
去唱卡拉OK吧！,1724,1-5,2025,夏,
黑化吧！聖女大人,1714,1-12,2025,夏,
轉生為第七王子，隨心所欲的魔法學習之路 第二季,1712,1-12,2025,夏,
盾之勇者成名錄 第四季,1711,1-12,2025,夏,
保齡球少女,1710,1-12,2025,夏,
杜鵑婚約 第二季,1707,1-12,2025,夏,
我們不可能成為戀人！絕對不行。 (※似乎可行？),1709,1-12,2025,夏,
GRAND BLUE 碧藍之海 第二季,1708,1-12,2025,夏,悠哈璃羽
明天，美食廣場見。,1706,1-12,2025,夏,桜都
醜男真戰士,1698,1-12,2025,夏,
出入禁止的鼴鼠,1699,1-12,2025,夏,
噗妮露是可愛史萊姆 第二季,1696,13-24,2025,夏,
地縛少年花子君 第二季,1601,1-24,2025,冬,
公爵千金的家庭教師,1674,1-12,2025,夏,
和雨·和你,1695,1-12,2025,夏,
戀上換裝娃娃 Season 2(第二季),1691,13-24,2025,夏,幻櫻
Bad Girl 不良少女,1693,1-12,2025,夏,桜都
被驅逐出勇者隊伍的白魔導師，被 S 級冒險者撿到,1689,1-12,2025,夏,
